activityId,activityName,startTimeLocal,startTimeGMT,distance,duration,elapsedDuration,movingDuration,elevationGain,elevationLoss,averageSpeed,maxSpeed,avgGradeAdjustedSpeed,calories,bmrCalories,averageHR,maxHR,averageRunningCadenceInStepsPerMinute,maxRunningCadenceInStepsPerMinute,steps,avgStrideLength,vO2MaxValue,avgPower,maxPower,normPower,aerobicTrainingEffect,anaerobicTrainingEffect,trainingEffectLabel,activityTrainingLoad,aerobicTrainingEffectMessage,anaerobicTrainingEffectMessage,minTemperature,maxTemperature,minElevation,maxElevation,avgElevation,maxVerticalSpeed,waterEstimated,lapCount,moderateIntensityMinutes,vigorousIntensityMinutes,fastestSplit_1000,fastestSplit_1609,fastestSplit_5000,hrTimeInZone_1,hrTimeInZone_2,hrTimeInZone_3,hrTimeInZone_4,hrTimeInZone_5,powerTimeInZone_1,powerTimeInZone_2,powerTimeInZone_3,powerTimeInZone_4,powerTimeInZone_5,startLatitude,startLongitude,endLatitude,endLongitude,locationName,manufacturer,description
21896273758,西区 ラン,2026-02-17 21:51:28,2026-02-17 12:51:28,8051.60986328125,4101.36376953125,4101.36376953125,3595.0,79.0,74.0,1.9630000591278076,5.206999778747559,1.9910000562667847,756.0,107.0,146.0,185.0,128.796875,185.0,9104,91.85542257518212,51.0,229.0,694.0,286.0,3.200000047683716,0.20000000298023224,AEROBIC_BASE,80.36537170410156,IMPROVING_AEROBIC_BASE_8,NO_ANAEROBIC_BENEFIT_0,15.0,30.0,13.199999809265137,49.599998474121094,27.90772981650653,0.6000022888183594,820.0,9,8,53,408.7919921875,685.75,2581.5048828125,632.115,785.922,939.164,993.263,720.683,1320.9,498.034,109.994,87.005,33.0,32.788756135851145,130.68880464881659,32.78901966288686,130.68984895013273,西区,GARMIN,
21812773725,足立区 ラン,2026-02-09 21:31:39,2026-02-09 12:31:39,3107.409912109375,1390.2979736328125,1390.2979736328125,1381.0,18.0,16.0,2.234999895095825,2.5850000381469727,2.234999895095825,301.0,36.0,155.0,166.0,163.484375,172.0,3812,82.05039238144812,51.0,270.0,394.0,278.0,2.700000047683716,0.0,TEMPO,49.3177490234375,MAINTAINING_TEMPO_21,NO_ANAEROBIC_BENEFIT_0,16.0,28.0,-4.800000190734863,11.0,4.2606757797520425,0.6000003814697266,333.0,4,1,21,434.57598876953125,698.593994140625,,19.001,15.003,375.99,678.977,293.002,587.781,29.003,9.998,0.0,0.0,35.7677835971117,139.77381153032184,35.76800345443189,139.77188897319138,足立区,GARMIN,
21782432769,足立区 ラン,2026-02-06 21:43:39,2026-02-06 12:43:39,2521.75,1454.989013671875,1459.43994140625,1226.0,44.0,33.0,1.7330000400543213,2.994999885559082,1.899999976158142,284.0,38.0,145.0,167.0,133.484375,202.0,3500,81.47000122070312,51.0,231.0,517.0,303.0,2.4000000953674316,0.10000000149011612,RECOVERY,39.33601379394531,MINOR_AEROBIC_BENEFIT_0,NO_ANAEROBIC_BENEFIT_0,17.0,27.0,2.799999952316284,19.200000762939453,12.389423068408128,1.0,291.0,3,2,21,538.8740234375,884.6539916992188,,169.988,319.992,508.899,282.144,162.999,228.759,306.006,91.208,84.994,19.802,35.7676022965461,139.7735270485282,35.76469587162137,139.77098272182047,足立区,GARMIN,
21772525330,足立区 ラン,2026-02-05 22:10:01,2026-02-05 13:10:01,2264.8798828125,915.0579833984375,915.0579833984375,906.0,11.0,3.0,2.4749999046325684,2.76200008392334,2.4790000915527344,202.0,24.0,158.0,174.0,167.703125,179.0,2560,88.55973285198814,52.0,292.0,374.0,297.0,2.4000000953674316,0.0,TEMPO,36.78608703613281,MAINTAINING_TEMPO_21,NO_ANAEROBIC_BENEFIT_0,18.0,27.0,2.5999999046325684,13.0,10.27016393630231,0.4000005722045899,237.0,3,1,13,388.12799072265625,636.4719848632812,,18.002,34.999,57.0,329.989,460.379,759.1,24.893,0.0,0.0,0.0,35.767696341499686,139.773954693228,35.76871817931533,139.772596238181,足立区,GARMIN,
21760692627,足立区 ラン,2026-02-04 20:04:52,2026-02-04 11:04:52,1213.8499755859375,680.5250244140625,1669.6290283203125,477.0,11.0,4.0,1.7840000391006472,3.23799991607666,1.7200000286102295,135.0,18.0,134.0,158.0,104.5,175.0,1326,102.38126777856549,52.0,199.0,425.0,282.0,1.7999999523162842,0.0,RECOVERY,18.299591064453125,RECOVERY_5,NO_ANAEROBIC_BENEFIT_0,22.0,28.0,1.600000023841858,8.199999809265137,,0.39999985694885254,137.0,2,1,14,521.5659790039062,,,117.998,301.142,93.001,116.988,0.0,151.004,177.989,13.997,2.001,0.0,35.76774143613875,139.7736721392721,35.767732970416546,139.7737128753215,足立区,GARMIN,
21639532277,足立区 ラン,2026-01-23 21:56:08,2026-01-23 12:56:08,2028.9100341796875,899.5590209960938,899.5590209960938,856.7529907226562,18.0,19.0,2.255000114440918,2.994999885559082,2.2750000953674316,206.0,23.0,156.0,172.0,147.109375,197.0,2160,91.60000000000001,52.0,311.0,486.0,330.0,2.5,0.0,TEMPO,42.420074462890625,MAINTAINING_TEMPO_21,NO_ANAEROBIC_BENEFIT_0,18.0,26.0,-2.200000047683716,12.800000190734863,,0.5999994277954102,235.0,3,1,13,428.2510070800781,697.8870239257812,,14.999,74.002,255.001,190.077,353.999,324.953,216.966,143.982,52.008,1.999,35.76780932955444,139.77389635518193,35.76632824726403,139.7727371379733,足立区,GARMIN,
21131416184,足立区 ラン,2025-11-30 22:09:20,2025-11-30 13:09:20,1541.1500244140625,670.0999755859375,670.0999755859375,659.0,12.0,1.0,2.299999952316284,3.806999921798706,2.2909998893737793,132.0,17.0,146.0,181.0,141.203125,247.0,1624,95.90270534068291,53.0,250.0,451.0,298.0,2.0,0.0,TEMPO,21.500289916992188,MAINTAINING_TEMPO_21,NO_ANAEROBIC_BENEFIT_0,19.0,28.0,2.5999999046325684,15.199999809265137,,0.4000005722045899,145.0,2,1,8,338.72900390625,,,132.003,264.994,51.002,86.0,104.989,158.998,213.994,4.001,6.998,0.0,35.76753624714911,139.7736074309796,35.76774504035711,139.7736729774624,足立区,GARMIN,
20646379075,足立区 - Recovery,2025-10-10 21:47:15,2025-10-10 12:47:15,2459.47998046875,1368.14697265625,1368.14697265625,1362.0,12.0,8.0,1.797999978065491,3.5360000133514404,1.8530000448226929,209.0,35.0,132.0,167.0,127.40625,184.0,2844,83.47999877929688,53.0,203.0,396.0,259.0,2.0,0.0,RECOVERY,21.044082641601562,MINOR_AEROBIC_BENEFIT_0,NO_ANAEROBIC_BENEFIT_0,25.0,31.0,2.4000000953674316,8.399999618530273,,0.7999997138977051,310.0,3,8,12,509.7349853515625,842.3729858398438,,689.749,341.999,211.999,64.001,1.001,200.068,279.711,14.0,0.0,0.0,35.76687424443662,139.77354498580098,35.76780027709901,139.7744612954557,足立区,GARMIN,
20515251889,足立区 ラン,2025-09-27 20:50:41,2025-09-27 11:50:41,1871.6700439453125,988.81298828125,1082.7939453125,940.0,13.0,4.0,1.8930000066757202,3.434000015258789,1.9140000343322754,156.0,25.0,133.0,171.0,129.25,227.0,2058,86.29000244140626,53.0,212.0,458.0,309.0,2.0999999046325684,0.0,RECOVERY,25.244369506835938,MINOR_AEROBIC_BENEFIT_0,NO_ANAEROBIC_BENEFIT_0,27.0,32.0,2.799999952316284,14.0,,0.5999994277954102,209.0,2,4,10,378.73699951171875,772.6339721679688,,391.007,60.101,232.903,141.996,36.0,25.918,81.007,159.989,98.988,0.0,35.76780304312706,139.77376794442534,35.769468527287245,139.77882952429354,足立区,GARMIN,
20480609309,Honolulu Diamond Head Hiking ,2025-09-23 08:22:22,2025-09-23 18:22:22,3241.110107421875,4528.02001953125,4528.02001953125,2969.0,181.0,186.0,0.7160000205039977,2.2209999561309814,0.7549999952316284,369.0,116.0,101.0,164.0,55.984375,206.0,5212,82.54844494557699,,64.0,495.0,133.0,1.100000023841858,0.0,RECOVERY,11.36260986328125,RECOVERY_5,NO_ANAEROBIC_BENEFIT_0,31.0,34.0,74.4000015258789,248.1999969482422,,0.8000030517578125,427.0,4,38,5,966.3770141601562,1873.3260498046875,,746.024,147.001,30.001,39.998,0.0,37.952,10.451,18.547,24.008,4.001,21.263471469283104,-157.80539765954018,21.263690488412976,-157.80495869927108,Honolulu,GARMIN,
20236853660,足立区 ラン,2025-08-31 23:31:51,2025-08-31 14:31:51,2300.14990234375,816.375,895.3560180664062,801.9259948730469,2.0,0.0,2.818000078201294,3.5920000076293945,2.848999977111816,187.0,21.0,159.0,189.0,153.71875,166.0,2120,110.0651693956865,53.0,328.0,424.0,348.0,2.5999999046325684,0.0,TEMPO,44.812957763671875,MAINTAINING_TEMPO_21,NO_ANAEROBIC_BENEFIT_0,30.0,33.0,3.0,5.800000190734863,,0.40000009536743164,226.0,3,0,14,324.3919982910156,520.0919799804688,,110.111,113.986,60.998,61.104,436.987,211.009,286.964,201.001,7.0,0.0,35.767754931002855,139.77365965023637,35.767656695097685,139.77351288311183,足立区,GARMIN,
20225352952,足立区 ラン,2025-08-30 22:03:06,2025-08-30 13:03:06,2433.659912109375,1261.0760498046875,1268.113037109375,1217.0,4.0,2.0,1.9299999475479126,3.2839999198913574,1.9490000009536745,207.0,32.0,136.0,165.0,139.546875,192.0,2832,83.62000122070313,53.0,217.0,430.0,268.0,2.0,0.0,RECOVERY,22.324188232421875,MINOR_AEROBIC_BENEFIT_0,NO_ANAEROBIC_BENEFIT_0,31.0,33.0,2.200000047683716,5.599999904632568,,0.39999985694885254,326.0,3,7,13,396.76300048828125,770.7559814453125,,567.509,416.029,53.998,204.001,0.0,193.176,235.838,34.997,3.0,0.0,35.76778686605394,139.77383516728878,35.76777504757047,139.77380633354187,足立区,GARMIN,
19998998959,富士山登山,2025-08-09 08:26:29,2025-08-08 23:26:29,18686.0390625,30373.720703125,30373.720703125,23147.051025390625,2324.0,2319.0,0.6150000095367432,6.886000156402588,0.9900000095367432,3992.0,780.0,145.0,178.0,63.90625,246.0,43762,57.441772690913965,,81.0,480.0,142.0,5.0,1.7999999523162842,AEROBIC_BASE,256.47265625,OVERREACHING_11,MINOR_ANAEROBIC_BENEFIT_15,15.0,28.0,1435.800048828125,3724.39990234375,,2.199951171875,2464.0,19,149,229,685.4580078125,1147.8480224609375,4732.73193359375,9104.333,4801.645,7885.765,6354.626,1972.586,1082.264,229.402,73.83,37.032,0.0,35.335699170827866,138.7945109512657,35.33568626269698,138.79467766731977,御殿場市,GARMIN,
19705514674,八王子市 トレイルラン,2025-07-12 11:42:36,2025-07-12 02:42:36,4437.18994140625,3921.5390625,3921.5390625,3616.614013671875,140.0,326.0,1.13100004196167,2.313999891281128,1.222000002861023,402.0,102.0,121.0,164.0,85.328125,249.0,6778,79.40250195028561,,90.0,402.0,143.0,2.0,0.0,AEROBIC_BASE,22.072723388671875,MAINTAINING_AEROBIC_BASE_7,NO_ANAEROBIC_BENEFIT_0,25.0,28.0,461.20001220703125,651.4000244140625,,2.0,386.0,5,33,13,650.989013671875,1119.93505859375,,2359.63,420.98,326.999,70.0,0.0,136.49,22.995,10.002,0.0,0.0,35.628921277821064,139.2222039308399,35.63236841931939,139.2576323915273,八王子市,GARMIN,
19705509102,八王子市 トレイルラン,2025-07-12 08:26:41,2025-07-11 23:26:41,12049.7001953125,11422.853515625,11533.9970703125,8553.705017089844,1045.0,577.0,1.0549999475479126,3.266000032424927,1.324000000953674,1596.0,296.0,143.0,172.0,77.265625,249.0,18286,97.17600692594017,53.0,129.0,536.0,202.0,3.799999952316284,0.0,AEROBIC_BASE,121.73025512695312,IMPROVING_AEROBIC_ENDURANCE_9,NO_ANAEROBIC_BENEFIT_0,26.0,30.0,186.39999389648438,675.5999755859375,,12.000000000000002,,13,,,,,,1395.036,2817.355,2741.465,2425.976,517.928,1142.933,495.336,255.847,108.997,28.007,35.63514878042042,139.2703127861023,35.629927944391966,139.2211742978543,八王子市,GARMIN,
19668696104,足立区 ラン,2025-07-08 21:48:40,2025-07-08 12:48:40,1285.9599609375,881.4639892578125,881.4639892578125,875.0830078125,6.0,10.0,1.4589999914169312,2.4630000591278076,1.452999949455261,144.0,23.0,136.0,158.0,110.71875,166.0,1796,80.91368547756691,,124.0,291.0,155.0,1.2000000476837158,0.0,RECOVERY,12.629974365234375,RECOVERY_5,NO_ANAEROBIC_BENEFIT_0,31.0,32.0,4.800000190734863,14.399999618530273,,0.40000009536743164,148.0,5,2,12,652.6710205078125,,,334.602,490.445,54.864,0.0,0.0,17.002,0.0,0.0,0.0,0.0,35.759344696998596,139.77418133988976,35.76744915917516,139.77364405989647,足立区,GARMIN,
